rank_data,player_id,player_name,team,opponent,is_home,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,expected_rz_targets,expected_gl_carries,expected_pass_att,expected_pass_yards,target_share_eb,snap_share_eb,sd_games,sd_targets,sd_carries,sd_attempts,sd_snap_share,sd_target_share,sd_carry_share,b_targets,b_carries,b_attempts,b_snap_share,b_target_share,b_carry_share,carries_per_game,targets_per_game,attempts_per_game,implied_team_total,opp_prev_def_epa_pass,opp_prev_def_epa_rush,off_continuity,hc_continuity,hc_change,changed_team,is_rookie,is_out,is_questionable,practice_status,learner
11,00-0034855,Baker Mayfield,TB,CLE,1.0,19.77,11.035,20.355,32.125,0.442,14.0,1.0,0.0,3.421,0.056,0.228,32.191,220.682,0.0,0.966,1.0,0.0,5.0,28.0,1.0,0.0,0.25,0.0,4.118,29.971,0.983,0.0,0.184,3.235,0.0,31.941,24.5,-0.112,-0.062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
12,00-0026498,Matthew Stafford,LA,NYG,1.0,19.664,11.167,19.474,33.963,0.403,13.0,1.0,0.0,2.658,0.063,0.108,35.253,270.999,0.0,0.975,1.0,0.0,2.0,25.0,0.84,0.0,0.069,0.0,1.853,30.059,0.907,0.0,0.084,1.706,0.0,35.118,27.75,0.06,0.145,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
13,00-0033106,Jared Goff,DET,BUF,0.0,19.605,11.769,20.32,30.307,0.443,9.0,1.0,0.0,2.563,0.056,0.228,34.05,261.892,0.0,0.97,1.0,0.0,2.0,39.0,1.0,0.0,0.061,0.0,1.559,36.5,0.985,0.0,0.08,1.118,0.0,34.0,24.5,-0.068,0.063,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
14,00-0036264,Jordan Love,GB,NYJ,0.0,19.013,10.845,19.522,31.364,0.402,21.0,1.0,0.0,2.966,0.056,0.228,28.639,214.974,0.0,0.938,1.0,0.0,1.0,42.0,1.0,0.0,0.048,0.0,2.067,35.633,0.969,0.0,0.078,3.133,0.0,29.267,24.5,0.287,-0.019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
15,00-0040691,Jaxson Dart,NYG,LA,0.0,18.781,10.752,18.022,31.453,0.401,12.0,1.0,0.0,3.874,0.047,0.256,24.329,165.726,0.0,0.837,1.0,0.0,11.0,29.0,1.0,0.0,0.297,0.0,8.571,26.607,0.919,0.0,0.223,6.143,0.0,24.214,20.75,-0.054,-0.057,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
16,00-0039732,Bo Nix,DEN,JAX,1.0,18.612,10.852,17.754,32.951,0.364,17.0,1.0,0.005,4.108,0.045,0.084,36.509,239.41,0.0,0.992,1.0,0.0,3.0,28.0,1.0,0.0,0.2,0.029,3.941,32.0,0.996,0.0,0.178,4.882,0.059,36.0,23.0,-0.113,-0.085,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
17,00-0039163,C.J. Stroud,HOU,CIN,1.0,18.561,10.547,18.937,30.708,0.374,25.0,1.0,0.0,2.92,0.056,0.092,30.594,218.435,0.0,0.91,1.0,0.0,2.0,38.0,1.0,0.0,0.062,0.0,2.714,34.107,0.955,0.0,0.086,3.429,0.0,30.214,24.5,0.18,0.059,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
18,00-0036442,Joe Burrow,CIN,HOU,0.0,17.913,9.148,16.95,33.043,0.343,2.0,1.0,0.0,2.478,0.05,0.126,32.449,227.135,0.0,0.875,1.0,0.0,5.0,35.0,1.0,0.0,0.185,0.0,3.375,33.688,0.938,0.0,0.143,1.75,0.0,32.375,22.0,-0.131,-0.113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
19,00-0039150,Bryce Young,CAR,ATL,0.0,17.69,10.462,17.829,30.523,0.32,24.0,1.0,0.0,3.183,0.052,0.214,29.269,190.093,0.0,0.963,1.0,0.0,2.0,37.0,0.9,0.0,0.091,0.0,2.688,33.438,0.931,0.0,0.104,3.375,0.0,29.875,23.0,0.004,0.016,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
20,00-0023459,Aaron Rodgers,PIT,NE,0.0,16.503,8.507,16.254,29.869,0.276,26.0,1.0,0.006,2.505,0.041,0.167,30.652,207.296,0.0,0.946,1.0,0.0,3.0,40.0,1.0,0.0,0.143,0.031,2.156,35.562,0.973,0.0,0.121,1.312,0.062,31.125,18.0,-0.038,-0.029,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
21,00-0040743,Tyler Shough,NO,BAL,0.0,16.495,7.566,16.0,29.883,0.332,18.0,1.0,0.0,2.779,0.043,0.236,29.959,215.597,0.0,0.836,1.0,0.0,4.0,56.0,1.0,0.0,0.16,0.0,4.045,42.864,0.918,0.0,0.136,4.091,0.0,29.727,19.0,0.085,-0.062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
22,00-0030565,Geno Smith,NYJ,GB,1.0,16.401,8.333,16.047,27.269,0.332,29.0,1.0,0.0,3.113,0.045,0.119,29.403,200.785,0.0,0.958,1.0,0.0,6.0,24.0,1.0,0.0,0.154,0.0,4.367,26.933,0.979,0.0,0.135,2.733,0.0,29.867,20.0,0.091,-0.029,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
23,00-0035710,Daniel Jones,IND,KC,0.0,16.325,8.327,16.779,27.301,0.303,23.0,1.0,0.0,2.597,0.047,0.182,29.103,225.353,0.0,0.912,1.0,0.0,1.0,31.0,1.0,0.0,0.05,0.0,2.231,30.269,0.956,0.0,0.08,3.462,0.0,29.538,20.5,0.029,-0.075,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
24,00-0033119,Jacoby Brissett,ARI,SEA,1.0,15.851,6.681,15.473,30.592,0.277,27.0,1.0,0.0,2.618,0.042,0.131,35.037,243.93,0.0,0.858,1.0,0.0,6.0,37.0,1.0,0.0,0.176,0.0,4.357,35.821,0.929,0.0,0.144,2.714,0.0,34.643,18.5,-0.075,-0.191,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
25,00-0036971,Trevor Lawrence,JAX,DEN,0.0,15.608,7.971,15.865,26.95,0.244,8.0,1.0,0.0,3.69,0.047,0.335,33.329,237.413,0.0,0.964,1.0,0.0,2.0,23.0,0.88,0.0,0.062,0.0,3.412,27.971,0.922,0.0,0.105,4.824,0.0,32.941,20.5,-0.081,-0.102,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
26,00-0033537,Deshaun Watson,CLE,TB,0.0,14.97,7.436,13.899,24.885,0.272,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,6.0,22.0,1.0,0.0,0.273,0.0,6.0,22.0,1.0,0.0,0.273,,,,16.0,0.08,-0.063,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
27,00-0035228,Kyler Murray,MIN,CHI,0.0,14.605,6.554,14.886,25.599,0.23,16.0,1.0,0.0,2.513,0.049,0.104,30.86,201.314,0.0,0.977,1.0,0.0,2.0,5.0,0.17,0.0,0.059,0.0,3.9,18.6,0.574,0.0,0.082,5.8,0.0,32.2,21.5,0.052,-0.009,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
28,00-0040676,Cam Ward,TEN,PHI,1.0,14.507,5.934,14.617,27.422,0.248,30.0,1.0,0.0,2.827,0.037,0.151,31.404,193.238,0.0,0.941,1.0,0.0,4.0,32.0,1.0,0.0,0.286,0.0,3.147,31.882,0.971,0.0,0.199,2.294,0.0,31.765,16.25,-0.068,-0.061,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
29,00-0029604,Kirk Cousins,LV,LAC,0.0,14.489,5.689,14.973,27.887,0.21,28.0,1.0,0.0,2.457,0.041,0.102,26.316,174.886,0.0,0.862,1.0,0.0,5.0,30.0,1.0,0.0,0.135,0.0,3.2,28.45,0.931,0.0,0.118,1.4,0.0,26.9,18.25,-0.063,-0.106,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,ridge
30,00-0038128,Malik Willis,MIA,SF,0.0,13.66,5.189,13.536,24.574,0.22,19.0,1.0,0.0,2.37,0.037,0.077,8.552,67.16,0.0,0.471,1.0,0.0,6.0,27.0,1.0,0.0,0.333,0.0,5.75,17.875,0.736,0.0,0.215,5.5,0.0,8.75,16.5,0.138,-0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,ridge
31,00-0034869,Sam Darnold,SEA,ARI,0.0,13.217,5.373,14.187,23.759,0.157,22.0,1.0,0.0,2.752,0.052,0.214,27.49,222.398,0.0,0.955,1.0,0.0,0.0,2.0,0.1,0.0,0.0,0.0,1.029,15.029,0.527,0.0,0.05,2.059,0.0,28.059,23.0,0.164,-0.001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
32,00-0032950,Carson Wentz,MIN,CHI,0.0,13.025,3.947,13.434,27.85,0.196,51.0,3.0,0.0,2.47,0.049,0.2,32.393,230.211,0.0,0.919,1.0,0.0,5.0,19.0,0.83,0.0,0.147,0.0,3.6,26.4,0.874,0.0,0.125,2.2,0.0,33.8,21.5,0.052,-0.009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
33,00-0033662,Cooper Rush,ATL,CAR,1.0,8.048,0.0,6.817,20.535,0.071,43.0,3.0,0.0,2.906,0.047,0.191,12.952,87.44,0.0,0.651,1.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.5,17.5,0.825,0.0,0.055,1.0,0.0,13.0,20.5,0.119,0.003,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
34,00-0035704,Drew Lock,SEA,ARI,0.0,7.908,0.0,5.708,22.352,0.104,68.0,2.0,0.0,2.99,0.052,0.214,0.98,6.847,0.0,0.359,1.0,0.0,2.0,22.0,0.9,0.0,0.091,0.0,2.0,11.5,0.63,0.0,0.099,2.0,0.0,1.0,23.0,0.164,-0.001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
35,00-0038102,Kenny Pickett,CAR,ATL,0.0,4.998,0.0,0.944,17.84,0.05,60.0,2.0,0.0,2.961,0.052,0.214,7.348,47.363,0.0,0.489,1.0,0.0,1.0,1.0,0.1,0.0,0.045,0.0,0.917,4.25,0.295,0.0,0.077,0.833,0.0,7.5,23.0,0.004,0.016,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
36,00-0039107,Stetson Bennett,LA,NYG,1.0,4.267,0.0,0.0,14.927,0.055,59.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,3.0,0.16,0.0,0.034,0.0,1.0,3.0,0.16,0.0,0.034,,,,27.75,0.06,0.145,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
37,00-0036945,Justin Fields,KC,IND,1.0,0.013,0.0,0.0,0.0,0.0,36.0,2.0,0.006,3.672,0.063,0.634,22.709,149.126,0.0,0.897,,,,,,,,0.111,7.889,22.667,0.897,0.0,0.139,7.889,0.111,22.667,27.0,0.059,-0.089,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
38,00-0026158,Joe Flacco,CIN,HOU,0.0,0.011,0.0,0.0,0.0,0.0,37.0,2.0,0.0,2.299,0.05,0.122,32.073,203.737,0.0,0.788,,,,,,,,0.0,1.615,32.0,0.788,0.0,0.094,1.615,0.0,32.0,22.0,-0.131,-0.113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
39,00-0031503,Jameis Winston,NYG,LA,0.0,0.011,0.0,0.0,0.0,0.0,39.0,2.0,0.006,2.769,0.047,0.133,22.104,164.639,0.0,0.729,,,,,,,,0.333,2.333,22.0,0.729,0.0,0.106,2.333,0.333,22.0,20.75,-0.054,-0.057,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
40,00-0028118,Tyrod Taylor,GB,NYJ,0.0,0.011,0.0,0.0,0.0,0.0,45.0,2.0,0.0,2.72,0.056,0.228,21.854,142.083,0.0,0.688,,,,,,,,0.0,4.5,22.333,0.688,0.0,0.099,4.5,0.0,22.333,24.5,0.287,-0.019,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
41,00-0032268,Marcus Mariota,WAS,DAL,0.0,0.011,0.0,0.0,0.0,0.0,40.0,2.0,0.0,2.815,0.053,0.106,22.096,160.687,0.0,0.752,,,,,,,,0.0,5.0,22.7,0.752,0.0,0.111,5.0,0.0,22.7,23.5,0.243,0.047,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
42,00-0036212,Tua Tagovailoa,ATL,CAR,1.0,0.011,0.0,0.0,0.0,0.0,31.0,1.0,0.0,2.601,0.047,0.191,27.328,190.125,0.0,0.944,,,,,,,,0.0,1.429,27.429,0.944,0.0,0.099,1.429,0.0,27.429,20.5,0.119,0.003,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
43,00-0039376,Spencer Rattler,NO,BAL,0.0,0.01,0.0,0.0,0.0,0.0,50.0,2.0,0.019,2.524,0.05,0.107,28.778,187.587,0.001,0.821,,,,,,,,0.222,3.444,28.556,0.821,0.001,0.101,3.444,0.222,28.556,19.0,0.085,-0.062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
44,00-0036898,Davis Mills,HOU,CIN,1.0,0.01,0.0,0.0,0.0,0.0,52.0,2.0,0.0,2.672,0.056,0.171,26.833,172.331,0.0,0.733,,,,,,,,0.0,2.167,26.5,0.733,0.0,0.101,2.167,0.0,26.5,24.5,0.18,0.059,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
45,00-0037324,Chris Oladokun,KC,IND,1.0,0.01,0.0,0.0,0.0,0.0,83.0,9.0,0.0,2.882,0.061,0.251,18.368,117.011,0.0,0.788,,,,,,,,0.0,1.667,18.333,0.788,0.0,0.109,1.667,0.0,18.333,27.0,0.059,-0.089,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
46,00-0038579,Aidan O'Connell,LV,LAC,0.0,0.01,0.0,0.0,0.0,0.0,86.0,3.0,0.001,2.845,0.041,0.17,21.522,145.459,0.0,0.853,,,,,,,,0.0,1.0,22.0,0.853,0.0,0.116,1.0,0.0,22.0,18.25,-0.063,-0.106,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
47,00-0039923,J.J. McCarthy,MIN,CHI,0.0,0.01,0.0,0.0,0.0,0.0,35.0,2.0,0.0,2.566,0.049,0.113,23.289,159.413,0.0,0.913,,,,,,,,0.0,3.7,24.3,0.913,0.0,0.107,3.7,0.0,24.3,21.5,0.052,-0.009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
48,00-0035993,Tyler Huntley,BAL,NO,1.0,0.01,0.0,0.0,0.0,0.0,46.0,2.0,0.0,2.848,0.062,0.256,13.145,89.911,0.0,0.622,,,,,,,,0.0,4.8,13.4,0.622,0.0,0.097,4.8,0.0,13.4,27.5,-0.015,-0.088,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
49,00-0038476,Tommy DeVito,NE,PIT,1.0,0.01,0.0,0.0,0.0,0.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,23.5,0.045,-0.027,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
50,00-0037012,Trey Lance,LAC,LV,1.0,0.01,0.0,0.0,0.0,0.0,41.0,2.0,0.0,2.645,0.057,0.235,14.446,90.684,0.0,0.445,,,,,,,,0.0,4.25,14.25,0.445,0.0,0.099,4.25,0.0,14.25,25.25,0.099,-0.042,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
51,00-0041056,Cade Klubnik,NYJ,GB,1.0,0.01,0.0,0.0,0.0,0.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,20.0,0.091,-0.029,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,ridge
52,00-0036972,Mac Jones,SF,MIA,1.0,0.01,0.0,0.0,0.0,0.0,38.0,2.0,0.0,2.977,0.066,0.27,26.499,192.993,0.0,0.752,,,,,,,,0.0,3.273,26.273,0.752,0.0,0.101,3.273,0.0,26.273,29.0,0.166,-0.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
53,00-0040234,Quinn Ewers,JAX,DEN,0.0,0.01,0.0,0.0,0.0,0.0,56.0,2.0,0.007,2.633,0.046,0.191,20.994,150.587,0.0,0.809,,,,,,,,0.25,2.0,20.75,0.809,0.0,0.105,2.0,0.25,20.75,20.5,-0.081,-0.102,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
54,00-0040206,Riley Leonard,IND,KC,0.0,0.009,0.0,0.0,0.0,0.0,57.0,3.0,0.0,2.526,0.047,0.134,13.203,89.71,0.0,0.541,,,,,,,,0.0,1.2,13.4,0.541,0.0,0.108,1.2,0.0,13.4,20.5,0.029,-0.075,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
55,00-0041562,Fernando Mendoza,LV,LAC,0.0,0.009,0.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,18.25,-0.063,-0.106,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,ridge
56,00-0037077,Sam Howell,DAL,WAS,1.0,0.009,0.0,0.0,0.0,0.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,27.0,0.223,0.041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
57,00-0027973,Andy Dalton,PHI,TEN,0.0,0.009,0.0,0.0,0.0,0.0,66.0,2.0,0.0,3.003,0.053,0.216,9.066,65.071,0.0,0.551,,,,,,,,0.0,1.25,9.25,0.551,0.0,0.109,1.25,0.0,9.25,23.25,0.182,-0.01,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
58,00-0034771,Mason Rudolph,PIT,NE,0.0,0.009,0.0,0.0,0.0,0.0,55.0,2.0,0.0,2.679,0.041,0.167,10.242,69.455,0.0,0.485,,,,,,,,0.0,1.4,10.4,0.485,0.0,0.107,1.4,0.0,10.4,18.0,-0.038,-0.029,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
59,00-0041251,Jalon Daniels,TB,CLE,1.0,0.009,0.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,24.5,-0.112,-0.062,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,ridge
60,00-0038400,Tanner McKee,PHI,TEN,0.0,0.009,0.0,0.0,0.0,0.0,67.0,3.0,0.0,2.896,0.053,0.216,10.536,72.65,0.0,0.477,,,,,,,,0.0,2.0,10.75,0.477,0.0,0.105,2.0,0.0,10.75,23.25,0.182,-0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
61,00-0039917,Michael Penix Jr.,ATL,CAR,1.0,0.009,0.0,0.0,0.0,0.0,,2.0,0.0,2.567,0.047,0.191,30.554,217.519,0.0,0.865,,,,,,,,0.0,2.333,30.667,0.865,0.0,0.098,2.333,0.0,30.667,20.5,0.119,0.003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
62,00-0026300,Josh Johnson,CIN,HOU,0.0,0.009,0.0,0.0,0.0,0.0,,9.0,0.0,2.473,0.05,0.205,18.041,126.126,0.0,0.561,,,,,,,,0.0,4.0,18.0,0.561,0.0,0.101,4.0,0.0,18.0,22.0,-0.131,-0.113,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
63,00-0040668,Shedeur Sanders,CLE,TB,0.0,0.008,0.0,0.0,0.0,0.0,33.0,2.0,0.0,2.53,0.036,0.077,26.366,179.139,0.0,0.91,,,,,,,,0.0,2.625,26.5,0.91,0.0,0.099,2.625,0.0,26.5,16.0,0.08,-0.063,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
64,00-0040014,Kyle McCord,MIA,SF,0.0,0.008,0.0,0.0,0.0,0.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,16.5,0.138,-0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
65,00-0033949,Joshua Dobbs,DET,BUF,0.0,0.008,0.0,0.0,0.0,0.0,54.0,2.0,0.0,2.671,0.056,0.228,2.504,17.512,0.0,0.326,,,,,,,,0.0,2.5,2.5,0.326,0.0,0.103,2.5,0.0,2.5,24.5,-0.068,0.063,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
66,00-0039164,Anthony Richardson,IND,KC,0.0,0.008,0.0,0.0,0.0,0.0,48.0,2.0,0.006,2.593,0.047,0.191,0.985,6.891,0.0,0.418,,,,,,,,0.5,2.0,1.0,0.418,0.0,0.111,2.0,0.5,1.0,20.5,0.029,-0.075,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
67,00-0040704,Dillon Gabriel,CLE,TB,0.0,0.008,0.0,0.0,0.0,0.0,,4.0,0.0,2.571,0.036,0.149,20.452,123.161,0.0,0.611,,,,,,,,0.0,1.556,20.556,0.611,0.0,0.101,1.556,0.0,20.556,16.0,0.08,-0.063,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
68,00-0040398,Brady Cook,MIA,SF,0.0,0.008,0.0,0.0,0.0,0.001,79.0,3.0,0.0,2.463,0.037,0.154,29.906,179.614,0.0,0.96,,,,,,,,0.0,2.6,30.6,0.96,0.0,0.101,2.6,0.0,30.6,16.5,0.138,-0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,ridge
69,00-0036679,Shane Buechele,BUF,DET,1.0,0.008,0.0,0.0,0.0,0.0,,9.0,0.001,3.243,0.066,0.27,14.098,98.241,0.0,0.753,,,,,,,,0.0,1.0,14.0,0.753,0.0,0.116,1.0,0.0,14.0,29.0,0.006,-0.029,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
70,00-0038416,Tyson Bagent,CHI,MIN,1.0,0.007,0.0,0.0,0.0,0.0,49.0,2.0,0.001,3.225,0.061,0.251,2.035,14.506,0.0,0.526,,,,,,,,0.0,1.0,2.0,0.526,0.0,0.114,1.0,0.0,2.0,27.0,-0.12,-0.052,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
71,00-0033869,Mitchell Trubisky,TEN,PHI,1.0,0.007,0.0,0.0,0.0,0.0,65.0,2.0,0.0,2.623,0.037,0.151,8.651,63.49,0.0,0.456,,,,,,,,0.0,2.25,8.75,0.456,0.0,0.104,2.25,0.0,8.75,16.25,-0.068,-0.061,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,ridge
72,00-0040494,Max Brosmer,MIN,CHI,0.0,0.007,0.0,0.0,0.0,0.0,89.0,9.0,0.0,2.561,0.049,0.2,9.721,61.575,0.0,0.569,,,,,,,,0.0,1.0,10.143,0.569,0.0,0.107,1.0,0.0,10.143,21.5,0.052,-0.009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
