rank_data,player_id,player_name,team,opponent,is_home,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,expected_rz_targets,expected_gl_carries,expected_pass_att,expected_pass_yards,target_share_eb,snap_share_eb,sd_games,sd_targets,sd_carries,sd_snap_share,sd_target_share,b_targets,b_carries,b_snap_share,b_target_share,implied_team_total,opp_prev_def_epa_pass,opp_prev_def_epa_rush,off_continuity,hc_continuity,hc_change,changed_team,is_rookie,is_out,is_questionable,practice_status,learner
11,00-0033288,George Kittle,SF,MIA,1.0,8.59,3.757,7.811,16.496,0.355,16.0,1.0,4.127,0.072,0.614,0.273,0.0,0.0,0.125,0.632,1.0,5.0,0.0,0.46,0.147,5.636,0.045,0.546,0.136,29.0,0.166,-0.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
12,00-0039066,Michael Mayer,LV,LAC,0.0,8.57,4.359,8.357,16.219,0.282,17.0,2.0,4.093,0.014,0.308,0.172,0.0,0.0,0.113,0.616,1.0,7.0,0.0,0.81,0.241,5.583,0.0,0.713,0.177,18.25,-0.063,-0.106,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
13,00-0037838,Isaiah Likely,NYG,LA,0.0,8.567,4.222,8.175,16.848,0.311,11.0,1.0,3.991,0.019,0.379,0.196,0.0,0.0,0.11,0.565,1.0,8.0,0.0,0.49,0.276,5.636,0.0,0.527,0.193,20.75,-0.054,-0.057,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,ridge
14,00-0038996,Tucker Kraft,GB,NYJ,0.0,8.5,3.613,7.95,16.821,0.314,7.0,1.0,3.694,0.068,0.582,0.231,0.0,0.0,0.111,0.639,1.0,6.0,0.0,0.66,0.15,5.75,0.062,0.65,0.131,24.5,0.287,-0.019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
15,00-0035229,T.J. Hockenson,MIN,CHI,0.0,8.496,4.503,8.502,15.355,0.276,20.0,1.0,4.712,0.059,0.452,0.203,0.0,0.0,0.133,0.627,1.0,5.0,0.0,0.66,0.217,4.7,0.033,0.643,0.175,21.5,0.052,-0.009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
16,00-0040663,Harold Fannin Jr.,CLE,TB,0.0,8.21,3.33,7.765,17.135,0.276,6.0,1.0,6.41,0.175,0.426,0.096,0.0,0.0,0.177,0.599,1.0,3.0,0.0,0.82,0.136,4.844,0.219,0.71,0.157,16.0,0.08,-0.063,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
17,00-0033881,Evan Engram,DEN,JAX,1.0,8.165,2.726,7.065,18.068,0.284,28.0,1.0,4.668,0.065,0.437,0.217,0.0,0.0,0.128,0.572,1.0,5.0,0.0,0.63,0.185,4.875,0.031,0.601,0.156,23.0,-0.113,-0.085,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
18,00-0033885,David Njoku,LAC,LV,1.0,7.485,2.908,6.792,16.348,0.227,32.0,2.0,3.946,0.016,0.566,0.238,0.0,0.0,0.109,0.635,1.0,5.0,0.0,0.55,0.185,4.682,0.0,0.593,0.147,25.25,0.099,-0.042,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
19,00-0040126,Colston Loveland,CHI,MIN,1.0,7.393,2.844,6.718,16.225,0.228,2.0,1.0,4.933,0.069,0.763,0.255,0.0,0.0,0.142,0.606,1.0,2.0,0.0,0.87,0.077,3.562,0.031,0.738,0.109,27.0,-0.12,-0.052,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
20,00-0038041,Jake Ferguson,DAL,WAS,1.0,7.269,3.262,6.072,15.817,0.223,12.0,1.0,5.438,0.068,0.862,0.255,0.0,0.0,0.152,0.61,1.0,2.0,0.0,0.76,0.067,4.0,0.029,0.685,0.109,27.0,0.223,0.041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
21,00-0040736,Mason Taylor,NYJ,GB,1.0,7.214,2.788,6.5,14.729,0.241,35.0,1.0,4.468,0.013,0.43,0.189,0.0,0.0,0.131,0.794,1.0,3.0,0.0,0.66,0.13,4.0,0.0,0.727,0.131,20.0,0.091,-0.029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
22,00-0034829,Mike Gesicki,CIN,HOU,0.0,7.054,2.205,5.495,16.955,0.242,33.0,1.0,3.799,0.016,0.379,0.207,0.0,0.0,0.101,0.41,1.0,7.0,0.0,0.33,0.206,5.25,0.0,0.37,0.153,22.0,-0.131,-0.113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
23,00-0033090,Hunter Henry,NE,PIT,1.0,7.043,2.801,6.495,14.356,0.202,19.0,1.0,5.563,0.01,0.977,0.222,0.0,0.0,0.158,0.782,1.0,3.0,0.0,0.76,0.097,4.059,0.0,0.771,0.127,23.5,0.045,-0.027,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
24,00-0038935,Brenton Strange,JAX,DEN,0.0,6.965,2.492,6.225,14.807,0.221,18.0,1.0,4.591,0.013,0.376,0.193,0.0,0.0,0.122,0.736,1.0,3.0,0.0,0.68,0.143,4.0,0.0,0.708,0.132,20.5,-0.081,-0.102,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
25,00-0036970,Kyle Pitts,ATL,CAR,1.0,6.881,2.617,6.186,15.126,0.214,4.0,1.0,6.884,0.008,0.572,0.193,0.0,0.0,0.194,0.867,1.0,1.0,0.0,0.63,0.053,3.971,0.0,0.749,0.123,20.5,0.119,0.003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
26,00-0040584,Gunnar Helm,TEN,PHI,1.0,6.819,2.578,6.235,15.012,0.178,26.0,1.0,4.109,0.014,0.363,0.153,0.0,0.0,0.114,0.532,1.0,5.0,0.0,0.76,0.179,4.219,0.0,0.646,0.146,16.25,-0.068,-0.061,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
27,00-0041032,Kenyon Sadiq,NYJ,GB,1.0,6.516,2.879,5.316,14.791,0.196,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,3.0,1.0,0.42,0.13,3.0,1.0,0.42,0.13,20.0,0.091,-0.029,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,ridge
28,00-0036894,Pat Freiermuth,PIT,NE,0.0,6.508,2.592,5.731,14.735,0.159,25.0,1.0,4.098,0.014,0.333,0.17,0.0,0.0,0.114,0.512,1.0,5.0,0.0,0.73,0.135,4.3,0.0,0.621,0.125,18.0,-0.038,-0.029,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
29,00-0035644,Noah Fant,NO,BAL,0.0,6.487,2.44,5.442,15.402,0.179,45.0,2.0,3.764,0.017,0.251,0.179,0.0,0.0,0.1,0.406,1.0,8.0,0.0,0.41,0.154,5.577,0.0,0.408,0.127,19.0,0.085,-0.062,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
30,00-0037809,Chig Okonkwo,WAS,DAL,0.0,6.464,2.385,5.941,14.319,0.184,23.0,1.0,4.851,0.01,0.382,0.222,0.0,0.0,0.139,0.599,1.0,3.0,0.0,0.56,0.103,3.824,0.0,0.58,0.121,23.5,0.243,0.047,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
31,00-0037005,Tommy Tremble,CAR,ATL,0.0,6.458,2.311,5.583,14.778,0.188,53.0,1.0,3.548,0.02,0.35,0.217,0.0,0.0,0.105,0.601,1.0,5.0,0.0,0.56,0.147,3.733,0.0,0.58,0.126,23.0,0.004,0.016,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
32,00-0039793,AJ Barner,SEA,ARI,0.0,6.365,2.213,5.657,14.423,0.18,21.0,1.0,4.541,0.257,0.616,0.12,0.0,0.0,0.138,0.711,1.0,2.0,0.0,0.88,0.083,3.0,0.294,0.795,0.111,23.0,0.164,-0.001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
33,00-0036290,Cole Kmet,CHI,MIN,1.0,5.91,2.369,4.714,15.129,0.177,40.0,2.0,3.775,0.017,0.462,0.255,0.064,0.0,0.108,0.702,1.0,3.0,0.0,0.57,0.115,3.0,0.0,0.636,0.112,27.0,-0.12,-0.052,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
34,00-0036244,Colby Parkinson,LA,NYG,1.0,5.71,2.513,4.479,12.746,0.16,29.0,1.0,3.897,0.014,0.739,0.262,0.0,0.0,0.11,0.604,1.0,2.0,0.0,0.77,0.074,3.0,0.0,0.687,0.092,27.75,0.06,0.145,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
35,00-0035249,Josh Oliver,MIN,CHI,0.0,5.427,2.195,4.194,12.34,0.142,52.0,2.0,3.647,0.027,0.394,0.203,0.0,0.0,0.103,0.49,1.0,4.0,0.0,0.65,0.174,2.792,0.0,0.57,0.138,21.5,0.052,-0.009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
36,00-0037252,Greg Dulcich,MIA,SF,0.0,5.02,2.094,3.816,11.498,0.116,24.0,1.0,3.786,0.06,0.3,0.144,0.0,0.0,0.105,0.572,1.0,2.0,0.0,0.77,0.074,2.833,0.056,0.671,0.089,16.5,0.138,-0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
