rank_data,player_id,player_name,team,opponent,is_home,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,expected_rz_targets,expected_gl_carries,expected_pass_att,expected_pass_yards,target_share_eb,snap_share_eb,sd_games,sd_targets,sd_carries,sd_attempts,sd_snap_share,sd_target_share,b_targets,b_carries,b_attempts,b_snap_share,b_target_share,implied_team_total,opp_prev_def_epa_pass,opp_prev_def_epa_rush,off_continuity,hc_continuity,hc_change,changed_team,is_rookie,is_out,is_questionable,practice_status,learner
11,00-0034855,Baker Mayfield,TB,CLE,1.0,16.638,11.384,17.456,25.7,0.443,14.0,1.0,0.0,3.421,0.056,0.228,32.191,220.682,0.0,0.966,1.0,0.0,5.0,28.0,1.0,0.0,0.0,4.118,29.971,0.983,0.0,24.5,-0.112,-0.062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
12,00-0040691,Jaxson Dart,NYG,LA,0.0,16.632,9.366,15.68,27.86,0.425,12.0,1.0,0.0,3.874,0.047,0.256,24.329,165.726,0.0,0.837,1.0,0.0,11.0,29.0,1.0,0.0,0.0,8.571,26.607,0.919,0.0,20.75,-0.054,-0.057,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
13,00-0033106,Jared Goff,DET,BUF,0.0,16.192,10.339,17.131,23.664,0.408,9.0,1.0,0.0,2.563,0.056,0.228,34.05,261.892,0.0,0.97,1.0,0.0,2.0,39.0,1.0,0.0,0.0,1.559,36.5,0.985,0.0,24.5,-0.068,0.063,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
14,00-0026498,Matthew Stafford,LA,NYG,1.0,16.162,10.349,15.846,26.255,0.363,13.0,1.0,0.0,2.658,0.063,0.108,35.253,270.999,0.0,0.975,1.0,0.0,2.0,25.0,0.84,0.0,0.0,1.853,30.059,0.907,0.0,27.75,0.06,0.145,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
15,00-0039732,Bo Nix,DEN,JAX,1.0,15.821,9.72,15.597,25.44,0.364,17.0,1.0,0.005,4.108,0.045,0.084,36.509,239.41,0.0,0.992,1.0,0.0,3.0,28.0,1.0,0.0,0.029,3.941,32.0,0.996,0.0,23.0,-0.113,-0.085,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
16,00-0036264,Jordan Love,GB,NYJ,0.0,15.788,9.851,16.041,25.079,0.355,21.0,1.0,0.0,2.966,0.056,0.228,28.639,214.974,0.0,0.938,1.0,0.0,1.0,42.0,1.0,0.0,0.0,2.067,35.633,0.969,0.0,24.5,0.287,-0.019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
17,00-0039163,C.J. Stroud,HOU,CIN,1.0,15.634,9.578,15.892,25.401,0.354,25.0,1.0,0.0,2.92,0.056,0.092,30.594,218.435,0.0,0.91,1.0,0.0,2.0,38.0,1.0,0.0,0.0,2.714,34.107,0.955,0.0,24.5,0.18,0.059,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
18,00-0036442,Joe Burrow,CIN,HOU,0.0,15.16,8.367,14.445,25.461,0.352,2.0,1.0,0.0,2.478,0.05,0.126,32.449,227.135,0.0,0.875,1.0,0.0,5.0,35.0,1.0,0.0,0.0,3.375,33.688,0.938,0.0,22.0,-0.131,-0.113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
19,00-0039150,Bryce Young,CAR,ATL,0.0,14.866,9.594,14.905,24.324,0.296,24.0,1.0,0.0,3.183,0.052,0.214,29.269,190.093,0.0,0.963,1.0,0.0,2.0,37.0,0.9,0.0,0.0,2.688,33.438,0.931,0.0,23.0,0.004,0.016,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
20,00-0040743,Tyler Shough,NO,BAL,0.0,14.318,7.463,14.317,24.381,0.349,18.0,1.0,0.0,2.779,0.043,0.236,29.959,215.597,0.0,0.836,1.0,0.0,4.0,56.0,1.0,0.0,0.0,4.045,42.864,0.918,0.0,19.0,0.085,-0.062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
21,00-0030565,Geno Smith,NYJ,GB,1.0,14.005,7.288,13.813,22.649,0.316,29.0,1.0,0.0,3.113,0.045,0.119,29.403,200.785,0.0,0.958,1.0,0.0,6.0,24.0,1.0,0.0,0.0,4.367,26.933,0.979,0.0,20.0,0.091,-0.029,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
22,00-0023459,Aaron Rodgers,PIT,NE,0.0,13.797,7.767,13.603,23.825,0.252,26.0,1.0,0.006,2.505,0.041,0.167,30.652,207.296,0.0,0.946,1.0,0.0,3.0,40.0,1.0,0.0,0.031,2.156,35.562,0.973,0.0,18.0,-0.038,-0.029,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
23,00-0035710,Daniel Jones,IND,KC,0.0,13.716,7.468,13.786,23.117,0.267,23.0,1.0,0.0,2.597,0.047,0.182,29.103,225.353,0.0,0.912,1.0,0.0,1.0,31.0,1.0,0.0,0.0,2.231,30.269,0.956,0.0,20.5,0.029,-0.075,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
24,00-0033119,Jacoby Brissett,ARI,SEA,1.0,13.614,6.697,13.564,24.179,0.287,27.0,1.0,0.0,2.618,0.042,0.131,35.037,243.93,0.0,0.858,1.0,0.0,6.0,37.0,1.0,0.0,0.0,4.357,35.821,0.929,0.0,18.5,-0.075,-0.191,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
25,00-0033537,Deshaun Watson,CLE,TB,0.0,13.436,6.465,12.608,22.902,0.307,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,6.0,22.0,1.0,0.0,0.0,6.0,22.0,1.0,0.0,16.0,0.08,-0.063,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
26,00-0036971,Trevor Lawrence,JAX,DEN,0.0,13.292,7.269,13.324,22.732,0.222,8.0,1.0,0.0,3.69,0.047,0.335,33.329,237.413,0.0,0.964,1.0,0.0,2.0,23.0,0.88,0.0,0.0,3.412,27.971,0.922,0.0,20.5,-0.081,-0.102,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
27,00-0040676,Cam Ward,TEN,PHI,1.0,12.686,6.058,12.58,23.345,0.26,30.0,1.0,0.0,2.827,0.037,0.151,31.404,193.238,0.0,0.941,1.0,0.0,4.0,32.0,1.0,0.0,0.0,3.147,31.882,0.971,0.0,16.25,-0.068,-0.061,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
28,00-0035228,Kyler Murray,MIN,CHI,0.0,12.56,5.862,12.568,22.31,0.208,16.0,1.0,0.0,2.513,0.049,0.104,30.86,201.314,0.0,0.977,1.0,0.0,2.0,5.0,0.17,0.0,0.0,3.9,18.6,0.574,0.0,21.5,0.052,-0.009,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
29,00-0038128,Malik Willis,MIA,SF,0.0,12.333,4.637,11.649,22.848,0.285,19.0,1.0,0.0,2.37,0.037,0.077,8.552,67.16,0.0,0.471,1.0,0.0,6.0,27.0,1.0,0.0,0.0,5.75,17.875,0.736,0.0,16.5,0.138,-0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,ridge
30,00-0029604,Kirk Cousins,LV,LAC,0.0,12.324,5.32,12.467,22.568,0.214,28.0,1.0,0.0,2.457,0.041,0.102,26.316,174.886,0.0,0.862,1.0,0.0,5.0,30.0,1.0,0.0,0.0,3.2,28.45,0.931,0.0,18.25,-0.063,-0.106,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,ridge
31,00-0034869,Sam Darnold,SEA,ARI,0.0,11.028,4.962,12.2,19.668,0.132,22.0,1.0,0.0,2.752,0.052,0.214,27.49,222.398,0.0,0.955,1.0,0.0,0.0,2.0,0.1,0.0,0.0,1.029,15.029,0.527,0.0,23.0,0.164,-0.001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
32,00-0032950,Carson Wentz,MIN,CHI,0.0,10.911,4.206,11.773,21.671,0.178,51.0,3.0,0.0,2.47,0.049,0.2,32.393,230.211,0.0,0.919,1.0,0.0,5.0,19.0,0.83,0.0,0.0,3.6,26.4,0.874,0.0,21.5,0.052,-0.009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
33,00-0033662,Cooper Rush,ATL,CAR,1.0,6.798,0.0,5.898,17.501,0.088,43.0,3.0,0.0,2.906,0.047,0.191,12.952,87.44,0.0,0.651,1.0,0.0,0.0,22.0,1.0,0.0,0.0,0.5,17.5,0.825,0.0,20.5,0.119,0.003,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
34,00-0035704,Drew Lock,SEA,ARI,0.0,6.645,0.0,4.431,18.234,0.092,68.0,2.0,0.0,2.99,0.052,0.214,0.98,6.847,0.0,0.359,1.0,0.0,2.0,22.0,0.9,0.0,0.0,2.0,11.5,0.63,0.0,23.0,0.164,-0.001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
35,00-0038102,Kenny Pickett,CAR,ATL,0.0,4.311,0.0,1.308,15.354,0.062,60.0,2.0,0.0,2.961,0.052,0.214,7.348,47.363,0.0,0.489,1.0,0.0,1.0,1.0,0.1,0.0,0.0,0.917,4.25,0.295,0.0,23.0,0.004,0.016,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
36,00-0039107,Stetson Bennett,LA,NYG,1.0,3.748,0.0,0.0,12.267,0.058,59.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,3.0,0.16,0.0,0.0,1.0,3.0,0.16,0.0,27.75,0.06,0.145,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
