overall_rank,player,pos,pos_rank,team,bye,tier,delta_note
24,George Pickens,WR,WR13,DAL,14,Tier 2,
25,Malik Nabers,WR,WR14,NYG,8,Tier 2,"ACL recovery with a second procedure during rehab. Avoided PUP, expected Week 1, but build in a ramp"
26,Zay Flowers,WR,WR15,BAL,13,Tier 2,
27,Derrick Henry,RB,RB12,BAL,13,Tier 2,"Consensus RB8. We fade to RB13. No RB age 32 plus has ever finished better than RB4, and 30 plus RB1 seasons hit at 6 percent"
28,Jeremiyah Love,RB,RB13,ARI,14,Tier 2,Rookie first rounder walking into the Arizona lead role
29,Trey McBride,TE,TE1,ARI,14,Elite,"TE1 and it is not close. 126-1239-11 in 2025, second best PPR TE season ever. Brissett back for one more year"
30,Josh Allen,QB,QB1,BUF,7,Elite,
31,Tetairoa McMillan,WR,WR16,CAR,5,Tier 2,
32,DeVonta Smith,WR,WR17,PHI,10,Tier 2,
33,Brock Bowers,TE,TE2,LV,13,Elite,Coming off the 2025 injury. Will play early but snaps may be monitored. Elite when right
34,Emeka Egbuka,WR,WR18,TB,10,Tier 3,
35,Kyren Williams,RB,RB14,LAR,11,Tier 3,
36,Breece Hall,RB,RB15,NYJ,13,Tier 3,
37,Javonte Williams,RB,RB16,DAL,14,Tier 3,
38,Rome Odunze,WR,WR19,CHI,10,Tier 3,"Model WR12 vs consensus WR26. Year 3, Ben Johnson offense, Burden pushing from the slot. Efficiency profile supports the leap"
39,Tee Higgins,WR,WR20,CIN,6,Tier 3,
40,Travis Etienne Jr.,RB,RB17,NO,8,Tier 3,Signed with NO as the clear lead. Kamara is hurt and buried behind him
41,Quinshon Judkins,RB,RB18,CLE,11,Tier 3,
42,Jameson Williams,WR,WR21,DET,6,Tier 3,
43,Cam Skattebo,RB,RB19,NYG,8,Tier 3,
44,Ladd McConkey,WR,WR22,LAC,7,Tier 3,
45,Jaylen Waddle,WR,WR23,DEN,10,Tier 3,Traded to DEN for a package headlined by a first. Nix deep game fit
46,D'Andre Swift,RB,RB20,CHI,10,Tier 3,
47,Lamar Jackson,QB,QB2,BAL,13,Elite,
48,Bucky Irving,RB,RB21,TB,10,Tier 3,
49,Drake Maye,QB,QB3,NE,11,Elite,
50,Terry McLaurin,WR,WR24,WAS,7,Tier 3,"Model WR18, ranks him above his WR25 ADP"
51,DJ Moore,WR,WR25,BUF,7,Tier 3,"Signed with BUF. Josh Allen bump is real, but our vacancy study says targets fill from inside first. Shakir and Coleman do not vanish"
52,Jayden Daniels,QB,QB4,WAS,7,Tier 1,"QB Cliff: college rushing is the one pre draft signal that survives, and rushing is the fantasy floor. Ranked over Burrow on floor"
53,Josh Jacobs,RB,RB22,GB,11,Tier 4,
54,Joe Burrow,QB,QB5,CIN,6,Tier 1,
55,Davante Adams,WR,WR26,LAR,11,Tier 3,"Age 33. Late career WR production cliffs hard in our data. Priced at WR21, we pay WR26"
56,Colston Loveland,TE,TE3,CHI,10,Tier 1,
57,Mike Evans,WR,WR27,SF,8,Tier 4,"Age 33, new team. The streak chaser narrative does not pay for the decline curve"
58,Bhayshul Tuten,RB,RB23,JAX,7,Tier 4,
59,Christian Watson,WR,WR28,GB,11,Tier 4,"Model WR23. TD dependent profile, better in half PPR"
60,Jadarian Price,RB,RB24,SEA,11,Tier 4,"Charbonnet opens on PUP, out at least 4 games. Price is the Seattle lead back out of the gate. 118.6 PFF elusive rating, 19 percent of college runs went 10 plus yards"
61,David Montgomery,RB,RB25,HOU,8,Tier 4,Signed with HOU
62,Alec Pierce,WR,WR29,IND,13,Tier 4,Model WR19 vs consensus WR34. Per target efficiency is elite and the model does not care that it looks weird
63,Marvin Harrison Jr.,WR,WR30,ARI,14,Tier 4,"Fully healthy after the 12 game 2025. New OC LaFleur, Brissett fed McBride 9 plus targets a game though. Volume is the question"
64,Jalen Hurts,QB,QB6,PHI,10,Tier 1,
65,Luther Burden III,WR,WR31,CHI,10,Tier 4,
66,Tyler Warren,TE,TE4,IND,13,Tier 1,
67,Dak Prescott,QB,QB7,DAL,14,Tier 2,
68,Brian Thomas Jr.,WR,WR32,JAX,7,Tier 4,"Down 2025 at 9.9 PPG. Talent says bounce, market already fled to WR35"
69,Rhamondre Stevenson,RB,RB26,NE,11,Tier 4,
70,DK Metcalf,WR,WR33,PIT,9,Tier 4,Model WR20. Rodgers at QB again caps the ceiling
71,Jaylen Warren,RB,RB27,PIT,9,Tier 4,
72,TreVeyon Henderson,RB,RB28,NE,11,Tier 4,
73,Rico Dowdle,RB,RB29,PIT,9,Tier 4,"Signed with PIT, splits with Warren"
74,Ricky Pearsall,WR,WR34,SF,8,Tier 4,Model likes him at WR26 but SF added Evans and brought Deebo back. Crowded
75,Michael Wilson,WR,WR35,ARI,14,Tier 4,
76,Tony Pollard,RB,RB30,TEN,9,Tier 4,
77,Michael Pittman Jr.,WR,WR36,PIT,9,Tier 4,Traded to PIT
78,Harold Fannin Jr.,TE,TE5,CLE,11,Tier 1,
79,Parker Washington,WR,WR37,JAX,7,Flex,
80,Sam LaPorta,TE,TE6,DET,6,Tier 1,"ADP says TE11, projections say TE5. Market is punishing recency. We are not"
81,Caleb Williams,QB,QB8,CHI,10,Tier 2,
82,Chuba Hubbard,RB,RB31,CAR,5,Flex,
83,Matthew Stafford,QB,QB9,LAR,11,Tier 2,
84,Quentin Johnston,WR,WR38,LAC,7,Flex,"Model WR29, back to back improving seasons"
85,Kyle Pitts,TE,TE7,ATL,11,Tier 2,
86,Brock Purdy,QB,QB10,SF,8,Tier 2,
87,Chris Godwin,WR,WR39,TB,10,Flex,
88,Carnell Tate,WR,WR40,TEN,9,Flex,"Rookie, instant WR1 path with Cam Ward"
89,J.K. Dobbins,RB,RB32,DEN,10,Flex,
90,Courtland Sutton,WR,WR41,DEN,10,Flex,Waddle arrival cuts the target share
91,Jaxson Dart,QB,QB11,NYG,8,Tier 2,"Rushing QB, highest projection outside the elite tier. Market has him QB16, we do not"
92,Wan'Dale Robinson,WR,WR42,TEN,9,Flex,Model says WR21 but the model cannot see archetype. Fringe WRs keep their role on a team change only 32.4 percent of the time. This is the exact profile our WR study says to fade
93,Jakobi Meyers,WR,WR43,JAX,7,Flex,
94,RJ Harvey,RB,RB33,DEN,10,Flex,
95,Jordan Addison,WR,WR44,MIN,6,Flex,
96,Bo Nix,QB,QB12,DEN,10,Tier 2,
97,Jonathon Brooks,RB,RB34,CAR,5,Flex,Back from the knee. Hubbard still leads
98,Kenneth Gainwell,RB,RB35,TB,10,Flex,Pass down role in TB. PPR only profile
99,Josh Downs,WR,WR45,IND,13,Flex,
100,George Kittle,TE,TE8,SF,8,Tier 2,"Age 33, hamstring cost him time in 2025"
101,Jayden Reed,WR,WR46,GB,11,Flex,
102,Kyle Monangai,RB,RB36,CHI,10,Flex,Swift handcuff with standalone flex weeks in the Ben Johnson run game
103,Xavier Worthy,WR,WR47,KC,5,Flex,
104,Jared Goff,QB,QB13,DET,6,Tier 3,
105,Tucker Kraft,TE,TE9,GB,11,Tier 2,
106,Stefon Diggs,WR,WR48,WAS,7,Flex,
107,Jacory Croskey-Merritt,RB,RB37,WAS,7,Flex,
108,Patrick Mahomes,QB,QB14,KC,5,Tier 3,
109,Rachaad White,RB,RB38,WAS,7,Flex,Signed with WAS
110,Keon Coleman,WR,WR49,BUF,7,Flex,DJ Moore arrival squeezes the perimeter targets
111,Justin Herbert,QB,QB15,LAC,7,Tier 3,
112,Tre Tucker,WR,WR50,LV,13,Flex,"Model WR33, target share riser with Mendoza throwing"
113,Travis Kelce,TE,TE10,KC,5,Tier 2,Age 37. Name brand tax at this ADP
114,Aaron Jones,RB,RB39,MIN,6,Flex,"Age 31, committee with Mason"
115,Troy Franklin,WR,WR51,DEN,10,Depth,Model WR48 liked the 2025 growth. Waddle trade caps it
116,Travis Hunter,WR,WR52,JAX,7,Depth,
117,Trevor Lawrence,QB,QB16,JAX,7,Tier 3,
118,Deebo Samuel,WR,WR53,SF,8,Depth,Back in SF
119,Dallas Goedert,TE,TE11,PHI,10,Tier 2,
120,MarShawn Lloyd,RB,RB40,GB,11,Flex,
121,Baker Mayfield,QB,QB17,TB,10,Tier 3,
122,Calvin Ridley,WR,WR54,TEN,9,Depth,
123,Jerry Jeudy,WR,WR55,CLE,11,Depth,Watson at QB is a target quality problem
124,Mark Andrews,TE,TE12,BAL,13,Tier 2,
125,Chris Rodriguez Jr.,RB,RB41,JAX,7,Flex,
126,Kyler Murray,QB,QB18,MIN,6,Tier 3,Signed with MIN
127,Khalil Shakir,WR,WR56,BUF,7,Depth,"DJ Moore arrival adds real competition, but slot role is stickiest in our target data"
128,Blake Corum,RB,RB42,LAR,11,Flex,
129,Zach Charbonnet,RB,RB43,SEA,11,Depth,"PUP to open the season, out at least 4 games on the ACL rehab. Stash if the bench allows, Price runs the show meanwhile"
130,Woody Marks,RB,RB44,HOU,8,Depth,
131,Tyler Allgeier,RB,RB45,ARI,14,Depth,"Signed with ARI, veteran complement to Love"
132,Jauan Jennings,WR,WR57,MIN,6,Depth,Signed with MIN
133,Rashid Shaheed,WR,WR58,SEA,11,Depth,Signed with SEA. Return yards leagues bump him further
134,Jake Ferguson,TE,TE13,DAL,14,Tier 3,
135,Jordan Mason,RB,RB46,MIN,6,Depth,
136,Denzel Boston,WR,WR59,CLE,11,Depth,Rookie. Landing spot QB is the drag
137,Adonai Mitchell,WR,WR60,NYJ,13,Depth,
138,Jordan Love,QB,QB19,GB,11,Streamer,
139,Sam Darnold,QB,QB20,SEA,11,Streamer,
140,Tyjae Spears,RB,RB47,TEN,9,Depth,
141,Isaiah Likely,TE,TE14,NYG,8,Tier 3,"Signed with NYG, first TE1 role of his career"
142,Jalen Coker,WR,WR61,CAR,5,Depth,
143,Romeo Doubs,WR,WR62,NE,11,Depth,"Signed with NE, then the AJB trade landed. Clear WR2 role, capped ceiling"
144,Jayden Higgins,WR,WR63,HOU,8,Depth,"Year 2, second in the HOU pecking order behind Collins"
145,Jonah Coleman,RB,RB48,DEN,10,Depth,
146,Tyler Shough,QB,QB21,NO,8,Streamer,
147,Daniel Jones,QB,QB22,IND,13,Streamer,Starting Week 1 off the torn Achilles. Rushing floor is the question mark now
148,Tank Bigsby,RB,RB49,PHI,10,Depth,
149,Isiah Pacheco,RB,RB50,DET,6,Depth,"Signed with DET. MCL sprain plus back issue, Week 1 in doubt. Gibbs handcuff when right"
150,David Njoku,TE,TE15,LAC,7,Tier 3,Signed with LAC
151,Keaton Mitchell,RB,RB51,LAC,7,Depth,
152,Fernando Mendoza,QB,QB23,LV,13,Streamer,"First overall pick. The draft decides who plays: Round 1 QBs survive bottom tercile seasons at 60.3 percent, so the starts are safe all year. Market QB24 underprices the floor"
153,C.J. Stroud,QB,QB24,HOU,8,Streamer,
154,Jalen McMillan,WR,WR64,TB,10,Depth,
155,Braelon Allen,RB,RB52,NYJ,13,Depth,
156,Dalton Kincaid,TE,TE16,BUF,7,Tier 3,
157,Caleb Douglas,WR,WR65,MIA,6,Depth,"Rookie. Miami traded Waddle and cut Hill, the target vacancy is enormous and our WR study says vacancy plus draft capital is the buy signal"
158,De'Zhaun Stribling,WR,WR66,SF,8,Depth,
159,Cam Ward,QB,QB25,TEN,9,Depth,
160,Alvin Kamara,RB,RB53,NO,8,Depth,"MCL sprain, out about a month, and behind Etienne when back. Name value only"
161,Juwan Johnson,TE,TE17,NO,8,Tier 3,
162,Matthew Golden,WR,WR67,GB,11,Depth,
163,Brian Robinson Jr.,RB,RB54,ATL,11,Depth,
164,Dylan Sampson,RB,RB55,CLE,11,Depth,
165,Justice Hill,RB,RB56,BAL,13,Depth,
166,Aaron Rodgers,QB,QB26,PIT,9,Depth,
167,Kenyon Sadiq,TE,TE18,NYJ,13,Tier 3,"Rookie TE. Our TE priors say the breakout is Year 2 or 3, not Year 1"
168,Jaydon Blue,RB,RB57,DAL,14,Depth,
169,Mike Washington Jr.,RB,RB58,LV,13,Depth,
170,Jordyn Tyson,WR,WR68,NO,8,Depth,"Hamstring, expected out around two months. Late stash only"
171,Hunter Henry,TE,TE19,NE,11,Depth,
172,Bryce Young,QB,QB27,CAR,5,Depth,
173,Jaylen Wright,RB,RB59,MIA,6,Depth,
174,James Conner,RB,RB60,ARI,14,Depth,
175,Skyler Bell,WR,WR69,BUF,7,Depth,"Year 2, 9.71 RAS, but the Moore signing buries the depth chart further. Deep league dart, watch the preseason snap data"
176,Dont'e Thornton Jr.,WR,WR70,LV,13,Depth,
177,Jalen Nailor,WR,WR71,LV,13,Depth,
178,Dalton Schultz,TE,TE20,HOU,8,Depth,
179,Jordan James,RB,RB61,SF,8,Depth,
180,Ollie Gordon II,RB,RB62,MIA,6,Depth,
181,Tua Tagovailoa,QB,QB28,ATL,11,Depth,Signed vet minimum with ATL. Job unresolved vs Penix as of Aug 26. Do not pay for either until it is
182,Brenton Strange,TE,TE21,JAX,7,Depth,
183,Kendre Miller,RB,RB63,NO,8,Depth,
184,Tyrone Tracy Jr.,RB,RB64,NYG,8,Depth,
185,Geno Smith,QB,QB29,NYJ,13,Depth,Traded back to the team that drafted him
186,Chig Okonkwo,TE,TE22,WAS,7,Depth,Signed with WAS
187,Devin Neal,RB,RB65,NO,8,Depth,
188,Terrance Ferguson,TE,TE23,LAR,11,Depth,
189,Deshaun Watson,QB,QB30,CLE,11,Depth,Named the Week 1 starter. Fantasy avoid
190,T.J. Hockenson,TE,TE24,MIN,6,Depth,
191,Samaje Perine,RB,RB66,CIN,6,Depth,
192,Michael Penix Jr.,QB,QB31,ATL,11,Depth,"Nine months off the third ACL of his career, cleared for team drills Aug 22, no preseason snaps. No rushing production even when healthy"
193,Trevor Etienne,RB,RB67,CAR,5,Depth,Deep dart behind Hubbard and Brooks
194,Malik Willis,QB,QB32,MIA,6,Depth,Signed 3 years 67.5 million to start in Miami. Rushing gives him sneaky superflex weeks
195,Matthew Hibner,TE,TE25,BAL,13,Depth,"Rookie Round 4 TE. Nearly all TE breakouts land in Years 2 and 3, so this is a dynasty pick, not a redraft one"
196,Nick Singleton,RB,RB68,TEN,9,Depth,
197,Ty Johnson,RB,RB69,BUF,7,Depth,
198,Kayshon Boutte,WR,WR72,NE,11,Depth,
199,Darius Slayton,WR,WR73,NYG,8,Depth,
200,Xavier Legette,WR,WR74,CAR,5,Depth,
201,Malik Washington,WR,WR75,MIA,6,Depth,Miami target vacancy dart alongside Douglas
202,Chimere Dike,WR,WR76,TEN,9,Depth,
203,Bryce Lance,WR,WR77,NO,8,Depth,
